feature,category,f1_without,delta
HackingStringDetected,attack-signal,0.5714285714285714,0.25210084033613445
AvgMouseSpeed,behavioural,0.8235294117647058,0.0
MouseMoveCount,behavioural,0.8235294117647058,0.0
StdMouseSpeed,behavioural,0.8235294117647058,0.0
AvgMouseIdle,behavioural,0.8235294117647058,0.0
AvgClickDuration,behavioural,0.8235294117647058,0.0
AvgClickInterval,behavioural,0.8235294117647058,0.0
ClickCount,behavioural,0.8235294117647058,0.0
AvgFlight,behavioural,0.8235294117647058,0.0
KeyEventCount,behavioural,0.8235294117647058,0.0
TypingRate,behavioural,0.8235294117647058,0.0
AvgDwell,behavioural,0.8235294117647058,0.0
ClickRate,behavioural,0.8235294117647058,0.0
MouseMoveRate,behavioural,0.8235294117647058,0.0
PasteCount,attack-signal,0.8235294117647058,0.0
SuspiciousPasteDetected,attack-signal,0.8235294117647058,0.0
AbnormalInputDetected,attack-signal,0.8235294117647058,0.0
DevToolsDetected,attack-signal,0.8235294117647058,0.0
UnauthorizedAttempts,attack-signal,0.8235294117647058,0.0
DevToolsShortcutCount,attack-signal,0.975609756097561,-0.1520803443328551
